1461045,서지민150,20,01012345678,대전시 동구,36,9,59,9551
1461046,서지민151,28,01012345678,대전시 동구,27,5,99,5824
1461047,서지민152,33,01012345678,대전시 동구,20,50,57,5329
1461048,서지민153,22,01012345678,대전시 동구,37,1,46,7436
1461049,서지민154,25,01012345678,대전시 동구,4,21,13,9951
1461050,서지민155,23,01012345678,대전시 동구,33,95,95,5020
1461051,서지민156,20,01012345678,대전시 동구,47,95,47,7093
1461052,서지민157,36,01012345678,대전시 동구,93,12,8,2078
1461053,서지민158,22,01012345678,대전시 동구,42,38,22,8090
1461054,서지민159,23,01012345678,대전시 동구,19,52,75,9692
